F,n,x0,force_x,force_y,abs(force),max_height
0.05,0.1,0.5,15.6323,-3.36737,15.9909,4.60778
0.05,0.1,1,14.0619,-5.29301,15.025,4.47682
0.05,0.1,1.5,13.202,-6.89734,14.8951,4.40182
0.05,0.1,2,12.6304,-8.3352,15.1329,4.35162
0.05,0.1,2.5,12.2076,-9.66529,15.5706,4.31343
0.05,0.1,3,11.8483,-10.9191,16.1124,4.27912
0.05,0.25,0.5,11.3688,-4.10525,12.0873,3.94152
0.05,0.25,1,9.07945,-6.23958,11.0167,3.65496
0.05,0.25,1.5,7.95069,-7.96585,11.2547,3.49854
0.05,0.25,2,7.2284,-9.48603,11.9262,3.39163
0.05,0.25,2.5,6.71656,-10.8787,12.7851,3.3074
0.05,0.25,3,6.3325,-12.1807,13.7284,3.24874
0.05,0.5,0.5,9.16674,-4.51787,10.2196,3.08593
0.05,0.5,1,6.68162,-6.64576,9.42391,2.61396
0.05,0.5,1.5,5.57623,-8.34051,10.0329,2.38755
0.05,0.5,2,4.92429,-9.82502,10.99,2.25459
0.05,0.5,2.5,4.47843,-11.1777,12.0414,2.14785
0.05,0.5,3,4.14547,-12.439,13.1116,2.03875
0.05,1,0.5,8.97643,-4.48821,10.0359,3.40683
0.05,1,1,6.38831,-6.38831,9.03443,2.94943
0.05,1,1.5,5.28207,-7.9231,9.52239,2.70047
0.05,1,2,4.63844,-9.27688,10.3719,2.53503
0.05,1,2.5,4.20682,-10.5171,11.3272,2.41383
0.05,1,3,3.89259,-11.6778,12.3095,2.31961
0.05,2,0.5,10.4711,-3.9773,11.201,3.79666
0.05,2,1,7.5243,-5.58545,9.37082,3.35571
0.05,2,1.5,6.07081,-6.69765,9.03954,3.09782
0.05,2,2,5.43219,-8.11748,9.76741,2.91493
0.05,2,2.5,4.89841,-9.19422,10.4177,2.77691
0.05,2,3,4.46645,-10.1101,11.0528,2.67342
0.05,3,0.5,12.02,-3.66807,12.5672,4.0256
0.05,3,1,8.69033,-5.09351,10.073,3.60206
0.05,3,1.5,7.16164,-6.3139,9.54748,3.34179
0.05,3,2,6.24134,-7.38506,9.66919,3.16174
0.05,3,2.5,5.63431,-8.44027,10.1481,3.01876
0.05,3,3,5.13156,-9.21175,10.5446,2.90423
0.1,0.1,0.5,9.86836,-2.43568,10.1645,3.60009
0.1,0.1,1,8.94149,-3.95823,9.77844,3.50078
0.1,0.1,1.5,8.42983,-5.25271,9.93241,3.44364
0.1,0.1,2,8.08581,-6.4279,10.3295,3.40542
0.1,0.1,2.5,7.82919,-7.52594,10.8598,3.37625
