F,n,x0,force_x,force_y,abs(force),max_height
0.05,0.4,0.1,54.2858,-1.88188,54.3184,5.6717
0.1,0.4,0.1,30.5163,-1.10116,30.5362,4.23195
0.25,0.4,0.1,14.9766,-0.573854,14.9875,2.93922
0.5,0.4,0.1,9.12476,-0.367243,9.13215,2.27347
1,0.4,0.1,5.82916,-0.246245,5.83436,1.79775
0.05,0.5,0.1,53.1176,-2.0491,53.1572,5.6934
0.1,0.5,0.1,30.1371,-1.20288,30.1611,4.25091
0.25,0.5,0.1,14.8732,-0.620945,14.8862,2.94832
0.5,0.5,0.1,9.08347,-0.392544,9.09195,2.27824
1,0.5,0.1,5.81242,-0.259661,5.81822,1.80025
0.05,0.6,0.1,51.5962,-2.18555,51.6425,5.611
0.1,0.6,0.1,29.6014,-1.2868,29.6294,4.21413
0.25,0.6,0.1,14.7241,-0.660221,14.7389,2.93468
0.5,0.6,0.1,9.02451,-0.413752,9.03399,2.27164
1,0.6,0.1,5.78874,-0.270933,5.79508,1.79708
0.05,0.7,0.1,49.8948,-2.27223,49.9465,5.52147
0.1,0.7,0.1,28.9715,-1.34231,29.0026,4.16963
0.25,0.7,0.1,14.5448,-0.686886,14.561,2.9168
0.5,0.7,0.1,8.95321,-0.428277,8.96345,2.26269
1,0.7,0.1,5.75991,-0.27868,5.76665,1.79267
0.05,0.8,0.1,48.3366,-2.31182,48.3918,5.42668
0.1,0.8,0.1,28.3733,-1.37043,28.4063,4.12313
0.25,0.8,0.1,14.3707,-0.701232,14.3878,2.89787
0.5,0.8,0.1,8.88353,-0.436252,8.89423,2.25315
1,0.8,0.1,5.73164,-0.282973,5.73862,1.78795
0.05,0.9,0.1,46.9838,-2.31485,47.0408,5.33868
0.1,0.9,0.1,27.8364,-1.3771,27.8705,4.07811
0.25,0.9,0.1,14.2108,-0.70584,14.2283,2.87956
0.5,0.9,0.1,8.81883,-0.439027,8.82975,2.24397
1,0.9,0.1,5.70521,-0.284517,5.7123,1.78341
0.05,1,0.1,45.8688,-2.29344,45.9261,5.26349
0.1,1,0.1,27.3811,-1.36905,27.4153,4.03879
0.25,1,0.1,14.0721,-0.703605,14.0897,2.86322
0.5,1,0.1,8.76228,-0.438114,8.77323,2.23569
1,1,0.1,5.682,-0.2841,5.6891,1.77932
0.05,1.1,0.1,44.9684,-2.25575,45.0249,5.20013
0.1,1.1,0.1,27.0038,-1.35105,27.0376,4.00555
0.25,1.1,0.1,13.9551,-0.696688,13.9725,2.8494
0.5,1.1,0.1,8.71428,-0.434662,8.72512,2.22869
1,1.1,0.1,5.66225,-0.282327,5.66929,1.77587
0.05,1.2,0.1,44.2643,-2.20833,44.3193,5.15025
0.1,1.2,0.1,26.7021,-1.32686,26.7351,3.97852
0.25,1.2,0.1,13.8601,-0.686765,13.8771,2.8377
0.5,1.2,0.1,8.67513,-0.429556,8.68576,2.22272
1,1.2,0.1,5.64619,-0.279664,5.65311,1.77299
0.05,1.3,0.1,43.723,-2.15526,43.776,5.1098
0.1,1.3,0.1,26.4647,-1.29892,26.4966,3.95726
0.25,1.3,0.1,13.7841,-0.674964,13.8007,2.82888
0.5,1.3,0.1,8.64382,-0.423403,8.65418,2.21831
1,1.3,0.1,5.63337,-0.276431,5.64015,1.77076
0.05,1.4,0.1,43.3085,-2.0989,43.3594,5.07953
0.1,1.4,0.1,26.2794,-1.2688,26.31,3.93975
0.25,1.4,0.1,13.7242,-0.662052,13.7402,2.82107
0.5,1.4,0.1,8.61916,-0.416625,8.62922,2.21439
1,1.4,0.1,5.62339,-0.272857,5.63,1.76891
0.05,1.5,0.1,43.0141,-2.04238,43.0626,5.05581
