F,n,x0,force_x,force_y,abs(force),max_height
0.05,0,0.1,47.1985,-0.516827,47.2013,5.31716
0.1,0,0.1,27.889,-0.393269,27.8917,4.06391
0.25,0,0.1,14.2872,-0.272036,14.2898,2.87745
0.5,0,0.1,8.89985,-0.207301,8.90226,2.24738
1,0,0.1,5.76925,-0.160585,5.77148,1.78857
0.05,0.1,0.1,42.2602,-1.42638,42.2843,5.10798
0.1,0.1,0.1,25.6319,-0.905046,25.6479,3.93844
0.25,0.1,0.1,13.4676,-0.50417,13.477,2.81449
0.5,0.1,0.1,8.50578,-0.333412,8.51231,2.20997
1,0.1,0.1,5.57608,-0.228999,5.58078,1.76671
0.05,0.2,0.1,41.2109,-1.74098,41.2477,4.98475
0.1,0.2,0.1,25.2775,-1.08209,25.3006,3.87523
0.25,0.2,0.1,13.3816,-0.583733,13.3944,2.78921
0.5,0.2,0.1,8.47302,-0.376068,8.48136,2.19729
1,0.2,0.1,5.56198,-0.251759,5.56767,1.76027
0.05,0.3,0.1,41.2539,-1.93422,41.2992,4.90231
0.1,0.3,0.1,25.367,-1.18874,25.3948,3.83675
0.25,0.3,0.1,13.4294,-0.630754,13.4442,2.77545
0.5,0.3,0.1,8.49588,-0.400997,8.50534,2.19082
1,0.3,0.1,5.57186,-0.264931,5.57815,1.75709
0.05,0.4,0.1,41.7615,-2.06303,41.8124,4.92088
0.1,0.4,0.1,25.6276,-1.25817,25.6585,3.85558
0.25,0.4,0.1,13.5224,-0.660674,13.5386,2.78652
0.5,0.4,0.1,8.53598,-0.41668,8.54615,2.19703
1,0.4,0.1,5.58871,-0.273153,5.59539,1.76026
0.05,0.5,0.1,42.4577,-2.15089,42.5121,4.99438
0.1,0.5,0.1,25.9478,-1.30418,25.9805,3.89519
0.25,0.5,0.1,13.6283,-0.679972,13.6452,2.80356
0.5,0.5,0.1,8.58033,-0.426668,8.59094,2.20556
1,0.5,0.1,5.60712,-0.27835,5.61403,1.76441
0.05,0.6,0.1,43.2091,-2.21062,43.2656,5.06337
0.1,0.6,0.1,26.277,-1.3343,26.3108,3.93405
0.25,0.6,0.1,13.7331,-0.692162,13.7506,2.81943
0.5,0.6,0.1,8.62371,-0.432875,8.63457,2.21345
1,0.6,0.1,5.62504,-0.281552,5.63208,1.76826
0.05,0.7,0.1,43.9485,-2.25013,44.0061,5.12709
0.1,0.7,0.1,26.5917,-1.35319,26.6262,3.9669
0.25,0.7,0.1,13.8313,-0.699404,13.849,2.8329
0.5,0.7,0.1,8.66406,-0.436472,8.67505,2.22029
1,0.7,0.1,5.64165,-0.283382,5.64876,1.77167
0.05,0.8,0.1,44.6446,-2.27473,44.7026,5.17914
0.1,0.8,0.1,26.882,-1.36392,26.9166,3.99493
0.25,0.8,0.1,13.9206,-0.703116,13.9384,2.84492
0.5,0.8,0.1,8.70059,-0.438219,8.71162,2.22639
1,0.8,0.1,5.65667,-0.284245,5.6638,1.77469
0.05,0.9,0.1,45.2842,-2.28818,45.3419,5.22507
