F,n,x0,force_x,force_y,abs(force),max_height
0.05,0,0.1,23.5932,-0.518328,23.5989,5.31741
0.1,0,0.1,13.9358,-0.393757,13.9414,4.06326
0.25,0,0.1,7.13994,-0.272149,7.14512,2.87705
0.5,0,0.1,4.44803,-0.207327,4.45285,2.24711
1,0,0.1,2.88363,-0.160583,2.8881,1.78839
0.05,0.1,0.1,19.5938,-1.10415,19.6249,4.92191
0.1,0.1,0.1,12.0627,-0.726731,12.0846,3.82949
0.25,0.1,0.1,6.44242,-0.424992,6.45642,2.7611
0.5,0.1,0.1,4.10935,-0.290989,4.11964,2.17883
1,0.1,0.1,2.71687,-0.206349,2.7247,1.74881
0.05,0.2,0.1,18.326,-1.31271,18.373,4.74647
0.1,0.2,0.1,11.5254,-0.849634,11.5566,3.73129
0.25,0.2,0.1,6.26717,-0.482833,6.28575,2.71685
0.5,0.2,0.1,4.03085,-0.322872,4.04376,2.15481
1,0.2,0.1,2.68032,-0.223802,2.68964,1.73586
0.05,0.3,0.1,17.6944,-1.44511,17.7533,4.605
0.1,0.3,0.1,11.2802,-0.929386,11.3184,3.6565
0.25,0.3,0.1,6.19612,-0.521024,6.21799,2.68586
0.5,0.3,0.1,4.00103,-0.344033,4.0158,2.13884
1,0.3,0.1,2.66691,-0.235386,2.67728,1.72754
0.05,0.4,0.1,17.3824,-1.53641,17.4502,4.48951
0.1,0.4,0.1,11.1724,-0.985731,11.2158,3.59734
0.25,0.4,0.1,6.16971,-0.548488,6.19404,2.66221
0.5,0.4,0.1,3.99088,-0.359344,4.00703,2.12695
1,0.4,0.1,2.66244,-0.243783,2.67358,1.72147
0.05,0.5,0.1,17.264,-1.60337,17.3383,4.39746
0.1,0.5,0.1,11.1434,-1.02787,11.1907,3.55173
0.25,0.5,0.1,6.16722,-0.569324,6.19344,2.64424
0.5,0.5,0.1,3.99082,-0.371021,4.00803,2.11799
1,0.5,0.1,2.66241,-0.250199,2.67414,1.71692
0.05,0.6,0.1,17.2553,-1.65358,17.3344,4.32864
0.1,0.6,0.1,11.157,-1.06022,11.2073,3.51778
0.25,0.6,0.1,6.17682,-0.585584,6.20452,2.63086
0.5,0.6,0.1,3.99563,-0.380187,4.01367,2.11124
1,0.6,0.1,2.66445,-0.255247,2.67665,1.71345
0.05,0.7,0.1,17.3151,-1.6925,17.3977,4.34475
0.1,0.7,0.1,11.1962,-1.08585,11.2487,3.50641
0.25,0.7,0.1,6.19338,-0.598654,6.22225,2.62186
0.5,0.7,0.1,4.00318,-0.387594,4.0219,2.10648
1,0.7,0.1,2.66765,-0.259336,2.68023,1.71089
0.05,0.8,0.1,17.4144,-1.72307,17.4994,4.37702
0.1,0.8,0.1,11.2496,-1.10651,11.3039,3.51894
0.25,0.8,0.1,6.2135,-0.609355,6.24331,2.62117
0.5,0.8,0.1,4.01206,-0.39369,4.03133,2.10366
1,0.8,0.1,2.6714,-0.262709,2.68428,1.70924
0.05,0.9,0.1,17.5369,-1.74747,17.6238,4.40921
0.1,0.9,0.1,11.3106,-1.12344,11.3662,3.53421
0.25,0.9,0.1,6.23529,-0.618255,6.26587,2.62518
0.5,0.9,0.1,4.02151,-0.398788,4.04124,2.10486
1,0.9,0.1,2.67537,-0.265537,2.68852,1.70879
0.05,1,0.1,17.6748,-1.76748,17.7629,4.44151
0.1,1,0.1,11.3765,-1.13765,11.4332,3.55093
0.25,1,0.1,6.25803,-0.625803,6.28924,2.63107
0.5,1,0.1,4.03125,-0.403125,4.05136,2.10698
1,1,0.1,2.67945,-0.267945,2.69281,1.70944
0.05,1.1,0.1,17.8115,-1.78318,17.9006,4.47029
0.1,1.1,0.1,11.4406,-1.14933,11.4982,3.56664
0.25,1.1,0.1,6.27983,-0.632166,6.31157,2.63707
0.5,1.1,0.1,4.04055,-0.406814,4.06098,2.10962
1,1.1,0.1,2.68334,-0.270003,2.69689,1.71043
